SOF  LON  12-JUL-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type  ,Bus Group ,Account   ,Sub Acc   ,Contract       ,Roll/Delivery Date,    Strike,      Lotsize,Sq,B,           Lots,    Lots Signed,          Price,   Trdate,   Exe,   Tradeno,   Vouchno,Ccy,        Cont Val,       MtM Value,     Orig Comm,     Open Comm,   Comm Posted,  Last Trd,          Close,Frc,Trade Reference     ,Trade Time,Prod Group,HseClt,CltBkr,Exchange,Country Code,LME Trade Type,OTC Y/N,    Deal Number,LME Markup     ,Underlying Code,Underlying Price,Date,UTI                                                 ,TRN                                                 ,Account LEI         ,Broker LEI          ,Comm Ccy,Decimal Trade Price,External Sub Account,Trade Source,Trade Type,Contract Type,CLF,CLF Ccy,EFEE,EFEE Ccy,EXC,EXC Ccy,EXEC,EXEC Ccy,Exchange ID
NT    ,          ,LTESTLON  ,LTESTLON  ,CL             ,Aug-19,          ,1000,  ,B,2,2,60.9,12-Jul-19,  LGHF,281684660,          ,USD,121800,0,-2,0,-2,22-Jul-19,0,   ,                    ,00:00:00,          ,C     ,C     ,NYMEX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684660                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684660                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,60.9,              ,S           ,N         ,FUT ,,,-3.04,USD,,,,,CL             
NT    ,          ,LTESTLON  ,LTESTLON  ,CL             ,Aug-19,          ,1000,  ,S,2,-2,60.65,12-Jul-19,  LGHF,281684661,          ,USD,121300,0,-2,0,-2,22-Jul-19,0,   ,                    ,00:00:00,          ,C     ,C     ,NYMEX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684661                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684661                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,60.65,              ,S           ,N         ,FUT ,,,-3.04,USD,,,,,CL             
NT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,B,1,1,2998.25,12-Jul-19,  LGHF,281684662,          ,USD,149912.5,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,CME       ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684662                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684662                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,2998.25,              ,S           ,N         ,FUT ,,,-1.2,USD,,,,,ES             
NT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,B,1,1,3003.5,12-Jul-19,  LGHF,281684663,          ,USD,150175,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,CME       ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684663                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684663                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,3003.5,              ,S           ,N         ,FUT ,,,-1.2,USD,,,,,ES             
NT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,S,1,-1,2999.5,12-Jul-19,  LGHF,281684664,          ,USD,149975,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,CME       ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684664                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684664                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,2999.5,              ,S           ,N         ,FUT ,,,-1.2,USD,,,,,ES             
NT    ,          ,LTESTLON  ,LTESTLON  ,ES             ,Sep-19,          ,50,  ,S,1,-1,3005.75,12-Jul-19,  LGHF,281684665,          ,USD,150287.5,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,CME       ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684665                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684665                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,3005.75,              ,S           ,N         ,FUT ,,,-1.2,USD,,,,,ES             
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,1,1,12401.5,12-Jul-19,  LGHF,281684666,          ,EUR,310037.5,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684666                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684666                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12401.5,              ,S           ,N         ,FUT ,,,-0.8,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,2,2,12408,12-Jul-19,  LGHF,281684667,          ,EUR,620400,0,-2,0,-2,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684667                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684667                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12408,              ,S           ,N         ,FUT ,,,-1.6,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,2,2,12408.5,12-Jul-19,  LGHF,281684668,          ,EUR,620425,0,-2,0,-2,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684668                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684668                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12408.5,              ,S           ,N         ,FUT ,,,-1.6,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,B,2,2,12418.5,12-Jul-19,  LGHF,281684669,          ,EUR,620925,0,-2,0,-2,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684669                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684669                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12418.5,              ,S           ,N         ,FUT ,,,-1.6,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,1,-1,12397.5,12-Jul-19,  LGHF,281684670,          ,EUR,309937.5,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684670                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684670                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12397.5,              ,S           ,N         ,FUT ,,,-0.8,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,1,-1,12397.5,12-Jul-19,  LGHF,281684671,          ,EUR,309937.5,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684671                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684671                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12397.5,              ,S           ,N         ,FUT ,,,-0.8,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,2,-2,12388.5,12-Jul-19,  LGHF,281684673,          ,EUR,619425,0,-2,0,-2,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684673                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684673                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12388.5,              ,S           ,N         ,FUT ,,,-1.6,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,3,-3,12374.5,12-Jul-19,  LGHF,281684672,          ,EUR,928087.5,0,-3,0,-3,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684672                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684672                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12374.5,              ,S           ,N         ,FUT ,,,-2.4,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12373,12-Jul-19,  LGHF,281684674,          ,EUR,61865,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684674                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684674                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12373,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12378,12-Jul-19,  LGHF,281684675,          ,EUR,61890,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684675                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684675                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12378,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12380,12-Jul-19,  LGHF,281684676,          ,EUR,61900,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684676                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684676                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12380,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12380,12-Jul-19,  LGHF,281684677,          ,EUR,61900,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684677                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684677                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12380,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12383,12-Jul-19,  LGHF,281684678,          ,EUR,61915,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684678                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684678                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12383,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12367,12-Jul-19,  LGHF,281684679,          ,EUR,61835,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684679                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684679                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12367,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12379,12-Jul-19,  LGHF,281684680,          ,EUR,61895,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684680                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684680                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12379,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12380,12-Jul-19,  LGHF,281684682,          ,EUR,61900,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684682                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684682                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12380,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12382,12-Jul-19,  LGHF,281684681,          ,EUR,61910,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684681                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684681                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12382,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12407,12-Jul-19,  LGHF,281684683,          ,EUR,62035,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684683                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684683                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12407,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,GBP            ,Sep-19,          ,625,  ,B,1,1,125.7,12-Jul-19,  LGHF,281684685,          ,USD,78562.5,0,-1,0,-1,16-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,CME       ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684685                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684685                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,USD,125.7,              ,S           ,N         ,FUT ,,,-1.62,USD,,,,,BP             
